id,title,slug,status,area,city,courseType,address,phone,websiteUrl,reservationUrl,airportAccess,holes,par,summary,features,isBeginnerFriendly,isTouristFriendly,hasPracticeArea,isPartnerCandidate,lastChecked,sourceUrl,memo
ryukyu-golf-club,琉球ゴルフ倶楽部,ryukyu-golf-club,published,南部,南城市,ロングコース,〒901-0608 沖縄県南城市玉城親慶原1,098-948-2460,https://www.ryukyugolf.com/,,車で約35分,27,108,27H Par108 ダイキンオーキッドレディス開催,27H Par108 ダイキンオーキッドレディス開催,FALSE,FALSE,FALSE,FALSE,,https://www.ryukyugolf.com/,
shurei-country-club,守礼カントリークラブ,shurei-country-club,published,南部,南城市,ロングコース,〒901-1305 沖縄県南城市知念字知名1029,098-947-3411,https://www.shurei-cc.com/,,車で約35分,18,72,18H Par72,18H Par72,FALSE,FALSE,FALSE,FALSE,,https://www.shurei-cc.com/,
bashofu-course,芭蕉布コース,bashofu-course,published,南部,南城市,ミドルコース,〒901-0604 沖縄県南城市玉城字中山1313,098-943-5890,,,車で約35分,18,63,18H Par63,18H Par63,TRUE,FALSE,FALSE,FALSE,,,
naha-golf-club,那覇ゴルフ倶楽部,naha-golf-club,published,南部,八重瀬町,ロングコース,〒901-0402 沖縄県島尻郡八重瀬町字富盛2270,098-998-3311,,,車で約30分,18,72,18H Par72 2012年日本オープン開催,18H Par72 2012年日本オープン開催,FALSE,FALSE,FALSE,FALSE,,,
southern-links-golf-club,ザ・サザンリンクスゴルフクラブ,southern-links-golf-club,published,南部,八重瀬町,ロングコース,〒901-0513 沖縄県島尻郡八重瀬町字玻名城697,098-998-7001,https://www.accordiagolf.com/grand/southernlinks/,,車で約40〜50分,18,72,18H Par72,18H Par72,FALSE,FALSE,FALSE,FALSE,,https://www.accordiagolf.com/grand/southernlinks/,
palm-hills-golf-resort-club,パームヒルズゴルフリゾートクラブ,palm-hills-golf-resort-club,published,南部,糸満市,ロングコース,〒901-0323 沖縄県糸満市字新垣762,098-994-0002,https://reserve.accordiagolf.com/golfCourse/okinawa/palmhills/,,車で約30〜35分,18,72,18H Par72,18H Par72,FALSE,TRUE,FALSE,FALSE,,https://reserve.accordiagolf.com/golfCourse/okinawa/palmhills/,
nanzan-country-club,南山カントリークラブ,nanzan-country-club,published,南部,糸満市,ミドルコース,〒901-0331 沖縄県糸満市字真栄平1170,098-997-2021,http://www.okinawa-nanzan.com/,,車で約35分,9,34,9H Par34（2周で18H）,9H Par34（2周で18H）,TRUE,FALSE,FALSE,FALSE,,http://www.okinawa-nanzan.com/,
marine-town-golf,マリンタウンゴルフ,marine-town-golf,published,南部,与那原町,ショートコース,〒901-1303 沖縄県島尻郡与那原町字与那原3309,098-945-1040,https://www.mtg-okinawa.jp/,,車で約25分,10,30,10H Par30 ショートコース,10H Par30 ショートコース,TRUE,FALSE,FALSE,FALSE,,https://www.mtg-okinawa.jp/,
okinawa-country-club,沖縄カントリークラブ,okinawa-country-club,published,中部,西原町,ロングコース,〒903-0114 沖縄県中頭郡西原町字桃原109,098-945-3371,https://reserve.accordiagolf.com/golfCourse/okinawa/okinawa/,,車で約25分,18,72,18H Par72,18H Par72,FALSE,FALSE,FALSE,FALSE,,https://reserve.accordiagolf.com/golfCourse/okinawa/okinawa/,
ocean-castle-country-club,オーシャンキャッスルカントリークラブ,ocean-castle-country-club,published,中部,中城村,ロングコース,〒901-2421 沖縄県中頭郡中城村字登又60,098-935-5500,https://reserve.accordiagolf.com/golfCourse/okinawa/oceancastle/,,車で約40分,18,72,18H Par72 世界遺産・中城城跡に隣接,18H Par72 世界遺産・中城城跡に隣接,FALSE,FALSE,FALSE,FALSE,,https://reserve.accordiagolf.com/golfCourse/okinawa/oceancastle/,
onishi-terrace-golf-club,大西テェラスゴルフクラブ,onishi-terrace-golf-club,published,中部,北中城村,ミドルコース,〒901-2306 沖縄県中頭郡北中城村字大城190,098-935-4300,https://www.otgc.co.jp/,,車で約40分,18,63,18H Par63,18H Par63,TRUE,FALSE,FALSE,FALSE,,https://www.otgc.co.jp/,
em-wellness-resort-golf-course,EMウェルネス リゾートゴルフコース,em-wellness-resort-golf-course,published,中部,北中城村,ミドルコース,〒901-2305 沖縄県中頭郡北中城村字喜舎場1478,098-935-1500,https://www.emwellness-resort.com/,,車で約40分,9,,9H ホテル併設,9H ホテル併設,TRUE,TRUE,FALSE,FALSE,,https://www.emwellness-resort.com/,
okinawa-royal-golf-club,沖縄ロイヤルゴルフクラブ,okinawa-royal-golf-club,published,中部,うるま市,ロングコース,〒904-1113 沖縄県うるま市石川山城1436,098-964-2811,https://okinawaroyal.jp/,,車で約50分,36,,36H（18H×2コース）,36H（18H×2コース）,FALSE,FALSE,FALSE,FALSE,,https://okinawaroyal.jp/,
gushikawa-golf-club,具志川ゴルフクラブ,gushikawa-golf-club,published,中部,うるま市,ミドルコース,〒904-2205 沖縄県うるま市字栄野比50-1,098-974-3223,,,車で約50分,18,63,18H Par63,18H Par63,TRUE,FALSE,FALSE,FALSE,,,
public-golf-urasoe,パブリックゴルフうらそえ,public-golf-urasoe,published,中部,浦添市,ショートコース,〒901-2101 沖縄県浦添市西原5丁目51-1,098-877-3513,,,車で約25分,9,,9H ショートコース,9H ショートコース,TRUE,FALSE,FALSE,FALSE,,,
nishihara-green-center,西原グリーンセンター,nishihara-green-center,published,中部,西原町,ショートコース,〒903-0104 沖縄県中頭郡西原町字内間546,098-945-5456,,,車で約25〜30分,9,27,9H Par27 全Par3 レンジ24時間営業,9H Par27 全Par3 レンジ24時間営業,TRUE,FALSE,TRUE,FALSE,,,
queens-trap-golf-course,クイーンズトラップゴルフコース,queens-trap-golf-course,published,中部,読谷村,ミドルコース,〒904-0300 沖縄県中頭郡読谷村字牧原254,098-921-5577,,,車で約50分,9,36,9H Par36（2周で18H）Par4あり,9H Par36（2周で18H）Par4あり,TRUE,FALSE,FALSE,FALSE,,,
zanpa-golf-club,残波ゴルフクラブ,zanpa-golf-club,published,中部,読谷村,ミドルコース,〒904-0301 沖縄県中頭郡読谷村字宇座1133,098-958-1938,,,車で約50分,18,63,18H Par63,18H Par63,TRUE,FALSE,FALSE,FALSE,,,
taiyo-golf-club,TAIYO GOLF CLUB（タイヨーゴルフクラブ）,taiyo-golf-club,published,中部,沖縄市,ロングコース,沖縄県沖縄市池原（キャンプ・フォスター内）,098-954-2004,https://www.mccsokinawa.com/,,車で約40分,18,72,18H Par72 米軍基地内・民間人利用可,18H Par72 米軍基地内・民間人利用可,FALSE,FALSE,FALSE,FALSE,,https://www.mccsokinawa.com/,
chibana-golf-course,知花ゴルフコース（チバナ）,chibana-golf-course,published,中部,沖縄市,ショートコース,〒904-2144 沖縄県沖縄市知花4-1-3,098-938-6063,https://www.mccsokinawa.com/,,車で約40分,9,3,9H Par3のみ 米軍基地内・民間人利用可,9H Par3のみ 米軍基地内・民間人利用可,TRUE,FALSE,FALSE,FALSE,,https://www.mccsokinawa.com/,
kadena-banyan-tree-golf-course,カデナ バンヤンツリーゴルフコース,kadena-banyan-tree-golf-course,published,中部,嘉手納町,ロングコース,沖縄県中頭郡嘉手納町（嘉手納空軍基地内）,,https://www.mccsokinawa.com/,,車で約40分,18,72,18H Par72 米軍基地内・エスコート要 1960年開場（沖縄最古）,18H Par72 米軍基地内・エスコート要 1960年開場（沖縄最古）,FALSE,FALSE,FALSE,FALSE,,https://www.mccsokinawa.com/,
pgm-golf-resort-okinawa,PGMゴルフリゾート沖縄【GRAND PGM】,pgm-golf-resort-okinawa,published,北部,恩納村,ロングコース,〒904-0413 沖縄県国頭郡恩納村字冨着1043,098-965-1100,https://www.pacificgolf.co.jp/okinawa/,,車で約60分,27,108,27H Par108 HEIWA・PGM CHAMPIONSHIP開催,27H Par108 HEIWA・PGM CHAMPIONSHIP開催,FALSE,TRUE,FALSE,FALSE,,https://www.pacificgolf.co.jp/okinawa/,
atta-terrace-golf-resort,ジ・アッタテラス ゴルフリゾート,atta-terrace-golf-resort,published,北部,恩納村,ロングコース,〒904-0402 沖縄県国頭郡恩納村安富祖1079,098-967-8554,https://www.terrace.co.jp/atta/,,車で約60分,18,72,18H Par72,18H Par72,FALSE,TRUE,FALSE,FALSE,,https://www.terrace.co.jp/atta/,
chura-orchard-golf-club,美らオーチャードゴルフ倶楽部,chura-orchard-golf-club,published,北部,恩納村,ロングコース,〒904-0402 沖縄県国頭郡恩納村字安富祖1577,098-967-8711,https://www.jgmgroup.co.jp/churaorchard/,,車で約65〜70分,18,72,18H Par72 大京オープン17回開催,18H Par72 大京オープン17回開催,FALSE,FALSE,FALSE,FALSE,,https://www.jgmgroup.co.jp/churaorchard/,
ginoza-country-club,宜野座カントリークラブ,ginoza-country-club,published,北部,宜野座村,ロングコース,〒904-1301 沖縄県国頭郡宜野座村字松田2824-264,098-983-2200,https://www.ginozacc.com/,,車で約55分,18,72,18H Par72,18H Par72,FALSE,FALSE,FALSE,FALSE,,https://www.ginozacc.com/,
kise-country-club,かねひで喜瀬カントリークラブ,kise-country-club,published,北部,名護市,ロングコース,〒905-0026 沖縄県名護市字喜瀬1107-1,0980-53-6100,https://www.kise-cc.jp/,,車で約80〜90分,18,72,18H Par72,18H Par72,FALSE,FALSE,FALSE,FALSE,,https://www.kise-cc.jp/,
kanucha-golf-course,カヌチャリゾート カヌチャゴルフコース,kanucha-golf-course,published,北部,名護市,ロングコース,〒905-0225 沖縄県名護市安部156-2,0980-55-8888,https://www.kanucha.jp/,,車で約90分,18,72,18H Par72,18H Par72,FALSE,TRUE,FALSE,FALSE,,https://www.kanucha.jp/,
belle-beach-golf-club,ベルビーチゴルフクラブ,belle-beach-golf-club,published,北部,本部町,ロングコース,〒905-0225 沖縄県国頭郡本部町字崎本部5151,0980-47-3111,http://www.belle-co.com/belbeach/,,車で約90分,18,72,18H Par72 宮里3兄弟が練習したコース,18H Par72 宮里3兄弟が練習したコース,FALSE,FALSE,TRUE,FALSE,,http://www.belle-co.com/belbeach/,
motobu-green-park-golf-course,本部グリーンパークゴルフ場,motobu-green-park-golf-course,published,北部,本部町,ミドルコース,〒905-0213 沖縄県国頭郡本部町字古島404,0980-48-3211,,,車で約90分,18,57,18H Par57,18H Par57,TRUE,FALSE,FALSE,FALSE,,,
kin-seaside-golf-club,金武シーサイドゴルフクラブ,kin-seaside-golf-club,published,北部,金武町,ショートコース,〒904-1202 沖縄県国頭郡金武町字伊芸1996-3,098-968-8455,,,車で約55分,9,,9H ショートコース,9H ショートコース,TRUE,FALSE,FALSE,FALSE,,,
enagic-sedake-country-club,エナジック瀬嵩カントリークラブ,enagic-sedake-country-club,published,北部,名護市,ロングコース,〒905-2262 沖縄県名護市瀬嵩463-3,0980-55-8368,https://www.enagicsedakecc.com/,,車で約90〜100分,18,73,18H Par73 2025年8月より一般開放,18H Par73 2025年8月より一般開放,FALSE,FALSE,FALSE,FALSE,,https://www.enagicsedakecc.com/,
iejima-country-club,伊江島カントリークラブ,iejima-country-club,published,離島,伊江村,ミドルコース,〒905-0502 沖縄県国頭郡伊江村字東江前3682-1,0980-49-2028,,,本部港フェリー約30分＋車 計約120分以上,18,58,18H Par58（第1日曜・隔週土曜はPar72のロング形式）,18H Par58（第1日曜・隔週土曜はPar72のロング形式）,TRUE,TRUE,FALSE,FALSE,,,
emerald-coast-golf-links,エメラルドコーストゴルフリンクス,emerald-coast-golf-links,published,離島,宮古島市,ロングコース,〒906-0305 沖縄県宮古島市下地字与那覇1591-1,0980-76-3232,https://www.emeraldcoast.jp/,,飛行機約45分＋車約15分,18,72,18H Par72,18H Par72,FALSE,TRUE,FALSE,FALSE,,https://www.emeraldcoast.jp/,
shigira-bay-country-club,シギラベイカントリークラブ,shigira-bay-country-club,published,離島,宮古島市,ロングコース,〒906-0202 沖縄県宮古島市上野字新里1264,0980-76-3940,https://sigira.com/sports/golf/,,飛行機約45分＋車約15分,18,72,18H Par72,18H Par72,FALSE,TRUE,FALSE,FALSE,,https://sigira.com/sports/golf/,
chiyoda-country-club,千代田カントリークラブ,chiyoda-country-club,published,離島,宮古島市,ミドルコース,〒906-0202 沖縄県宮古島市上野野原137-1,0980-76-2588,,,飛行機約45分＋車約15分,18,63,18H Par63,18H Par63,TRUE,TRUE,FALSE,FALSE,,,
ocean-links-miyakojima,オーシャンリンクス宮古島,ocean-links-miyakojima,published,離島,宮古島市,ロングコース,〒906-0507 沖縄県宮古島市城辺保良940-1,0980-77-8072,,,飛行機約45分＋車約20分,18,72,18H Par72,18H Par72,FALSE,TRUE,FALSE,FALSE,,,
matsugahara-golf-club,松が原ゴルフクラブ,matsugahara-golf-club,published,離島,宮古島市,ミドルコース,〒906-0000 沖縄県宮古島市平良松原1180-1,0980-73-6011,,,飛行機約45分＋車約10分,9,36,9H Par36 ミドルコース,9H Par36 ミドルコース,TRUE,TRUE,FALSE,FALSE,,,
sashiba-links-irabu,サシバリンクス伊良部,sashiba-links-irabu,published,離島,宮古島市,ミドルコース,〒906-0501 沖縄県宮古島市伊良部字国仲659,0980-74-5555,,,飛行機約45分＋車約25分,9,36,9H Par36,9H Par36,TRUE,TRUE,FALSE,FALSE,,,
kohamajima-country-club,小浜島カントリークラブ,kohamajima-country-club,published,離島,竹富町,ロングコース,〒907-1221 沖縄県八重山郡竹富町小浜東表2954,0980-84-6314,https://risonare-kohamajima.hoshino-resorts.com/,,飛行機＋船 約2時間以上（石垣経由）,18,72,18H Par72 星野リゾート内 日本最南端・最西端,18H Par72 星野リゾート内 日本最南端・最西端,FALSE,TRUE,FALSE,FALSE,,https://risonare-kohamajima.hoshino-resorts.com/,
maesato-golf-course,マエサトゴルフコース,maesato-golf-course,published,離島,石垣市,ショートコース,〒907-0002 沖縄県石垣市真栄里354-1,0980-88-7111,https://www.anaintercontinental-ishigaki.jp/recreation/golf/,,飛行機約55分＋車約10分,,27,9〜10H Par27 全Par3 ANAインターコンチネンタル石垣リゾート内 ビジター利用可・ドレスコードなし,9〜10H Par27 全Par3 ANAインターコンチネンタル石垣リゾート内 ビジター利用可・ドレスコードなし,TRUE,TRUE,FALSE,FALSE,,https://www.anaintercontinental-ishigaki.jp/recreation/golf/,
